Site;Access Location;IP;Hostname;City;Region;Country;Latitude;Longitude;Company;Domain;Route;Type;Flag
Youtube;Home;68.173.202.44;be59.nycvnyjj01h.nyc.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;twcable.com;68.173.0.0/16;ISP;
Youtube;Home;68.173.198.112;agg110.nyclnyrg01r.nyc.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;twcable.com;68.173.0.0/16;ISP;
Youtube;Home;66.109.6.78;bu-ether19.nwrknjmd67w-bcr00.tbone.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;twcable.com;68.173.0.0/16;ISP;
Youtube;Home;107.14.19.24;bu-ether29.nwrknjmd67w-bcr00.tbone.rr.com;Englewood;Colorado;US;39.6478;-104.9880;Time Warner Cable Internet LLC;spectrum.com;107.14.16.0/20;hosting;
Youtube;Home;66.109.6.78;bu-ether19.nwrknjmd67w-bcr00.tbone.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;twcable.com;68.173.0.0/16;ISP;
Youtube;Home;66.109.5.138;;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;spectrum.com;66.109.0.0/20;hosting;
Youtube;Home;66.109.6.27;bu-ether12.nycmny837aw-bcr00.tbone.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;;;;
Youtube;Home;66.109.5.138;;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;spectrum.com;66.109.0.0/20;hosting;
Youtube;Home;66.109.1.35;0.ae4.pr0.nyc20.tbone.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;;;;
Youtube;Home;107.14.19.147;0.ae2.pr0.nyc20.tbone.rr.com;Englewood;Colorado;US;39.6478;-104.9880;Time Warner Cable Internet LLC;;;;
Youtube;Home;66.110.96.53;ix-ae-6-0.tcore1.n75-new-york.as6453.net;New York;New York;US;40.7308;-73.9975;TATA COMMUNICATIONS (AMERICA) INC;;;;
Youtube;Home;66.110.96.13;ix-ae-10-0.tcore1.n75-new-york.as6453.net;New York;New York;US;40.7308;-73.9975;TATA COMMUNICATIONS (AMERICA) INC;;;;
Youtube;Home;72.14.195.232;;;;US;37.7510;-97.8220;Google LLC;;;;
Youtube;Home;108.170.248.97;;;;US;37.7510;-97.8220;Google LLC;;;;
Youtube;Home;108.170.248.33;;;;US;37.7510;-97.8220;Google LLC;;;;
Youtube;Home;108.170.248.97;;;;US;37.7510;-97.8220;Google LLC;;;;
Youtube;Home;216.239.62.149;;Pryor;Oklahoma;US;36.3219;-95.2826;Google LLC;;;;
Youtube;Home;216.239.62.151;;Pryor;Oklahoma;US;36.3219;-95.2826;Google LLC;;;;
Youtube;Home;172.217.10.14;lga34s12-in-f14.1e100.net;;;US;37.7510;-97.8220;Google LLC;;;;
Netflix;Home;68.173.202.44;be59.nycvnyjj01h.nyc.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;twcable.com;68.173.0.0/16;ISP;
Netflix;Home;68.173.198.112;agg110.nyclnyrg01r.nyc.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;twcable.com;68.173.0.0/16;ISP;
Netflix;Home;66.109.6.78;bu-ether19.nwrknjmd67w-bcr00.tbone.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;twcable.com;68.173.0.0/16;ISP;
Netflix;Home;107.14.19.24;bu-ether29.nwrknjmd67w-bcr00.tbone.rr.com;Englewood;Colorado;US;39.6478;-104.9880;Time Warner Cable Internet LLC;spectrum.com;107.14.16.0/20;hosting;
Netflix;Home;66.109.5.138;;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;spectrum.com;66.109.0.0/20;hosting;
Netflix;Home;66.109.1.57;ae-1-0.c1.buf00.tbone.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;;;;
Netflix;Home;107.14.17.218;0.ae1.pr1.nyc20.tbone.rr.com;Los Angeles;California;US;34.0035;-118.2870;Time Warner Cable Internet LLC;;;;
Netflix;Home;66.109.1.57;ae-1-0.c1.buf00.tbone.rr.com;;;US;37.7510;-97.8220;Time Warner Cable Internet LLC;;;;
Netflix;Home;24.27.236.51;;Dallas;Texas;US;32.7673;-96.7776;Time Warner Cable Internet LLC;;;;
Netflix;Home;54.240.229.139;;Ashburn;Virginia;US;39.0481;-77.4728;Amazon.com, Inc.;;;;
Netflix;Home;54.240.229.145;;Ashburn;Virginia;US;39.0481;-77.4728;Amazon.com, Inc.;;;;
Netflix;Home;54.240.229.137;;Ashburn;Virginia;US;39.0481;-77.4728;Amazon.com, Inc.;;;;
