Site;Access Location;IP;Hostname;City;Region;Country;Latitude;Longitude;Company;Domain;Route;Type;Flag
Youtube;ITP;10.17.0.2;;;;;40.729444;-73.993554;Private;;;;
Youtube;ITP;128.122.1.36;NYUGWA-NEW-VL902.NET.NYU.EDU;New York;New York;US;40.7317;-73.9885;New York University;;;;
Youtube;ITP;192.168.184.228;;;;US;40.7317;-73.9885;Private;;;;
Youtube;ITP;128.122.254.114;NYUGWA-OUTSIDE-NGFW-VL3080.NET.NYU.EDU;New York;New York;US;40.7317;-73.9885;New York University;;;;
Youtube;ITP;192.168.184.221;;;;US;40.7317;-73.9885;Private;;;;
Youtube;ITP;192.76.177.202;NYUGWA-VL1001.NET.NYU.EDU;New York;New York;US;40.7317;-73.9885;New York University;;;;
Youtube;ITP;128.122.254.111;DMZGWB-PTP-NYUGWA-VL3082.NET.NYU.EDU;New York;New York;US;40.7317;-73.9885;New York University;;;;
Youtube;ITP;128.122.254.70;EXTGWB-PTP-DMZGWB.NET.NYU.EDU;New York;New York;US;40.7317;-73.9885;New York University;;;;
Youtube;ITP;64.86.62.13;ix-xe-7-3-2-0.tcore2.nw8-new-york.as6453.net;;;US;37.7510;-97.8220;TATA COMMUNICATIONS (AMERICA) INC;;;;
Youtube;ITP;209.58.75.217;if-ae-0-2.tcore1.nw8-new-york.as6453.net;Jersey City;New Jersey;US;40.7518;-74.0662;TATA COMMUNICATIONS (AMERICA) INC;;;;
Youtube;ITP;216.6.90.72;if-ae-3-2.tcore1.n0v-new-york.as6453.net;;;US;37.7510;-97.8220;TATA COMMUNICATIONS (AMERICA) INC;;;;
Youtube;ITP;63.243.128.141;if-ae-7-2.tcore1.nto-new-york.as6453.net;;;US;37.7510;-97.8220;TATA COMMUNICATIONS (AMERICA) INC;;;;
Youtube;ITP;63.243.128.25;if-ae-7-2.tcore1.nto-new-york.as6453.net;;;US;37.7510;-97.8220;TATA COMMUNICATIONS (AMERICA) INC;;;;
Youtube;ITP;63.243.128.141;if-ae-7-2.tcore1.nto-new-york.as6453.net;;;US;37.7510;-97.8220;TATA COMMUNICATIONS (AMERICA) INC;;;;
